"sentiment","word_count","ratio","percentt"
"positive",18750,0.114155251141553,11.4155251141553
"anticipation",10750,0.0654490106544901,6.54490106544901
"trust",10750,0.0654490106544901,6.54490106544901
"negative",9250,0.0563165905631659,5.63165905631659
"anger",4750,0.0289193302891933,2.89193302891933
"fear",4000,0.0243531202435312,2.43531202435312
"sadness",4000,0.0243531202435312,2.43531202435312
"surprise",3250,0.0197869101978691,1.97869101978691
"disgust",2750,0.0167427701674277,1.67427701674277
"joy",2750,0.0167427701674277,1.67427701674277
