"sentiment","word_count","ratio","percentt"
"positive",16000,0.111111111111111,11.1111111111111
"trust",14750,0.102430555555556,10.2430555555556
"anticipation",9250,0.0642361111111111,6.42361111111111
"negative",7000,0.0486111111111111,4.86111111111111
"sadness",3750,0.0260416666666667,2.60416666666667
"fear",3250,0.0225694444444444,2.25694444444444
"joy",2750,0.0190972222222222,1.90972222222222
"anger",2250,0.015625,1.5625
"surprise",2250,0.015625,1.5625
"disgust",1000,0.00694444444444444,0.694444444444444
